,diocese_id,diocese_name,average_combined_score,average_ratio_score,count_positive_score,total_events,unique_persons,likelihood
405,https://g17.dhi-roma.it/resources/institution_500,Sabinensis,0.0,0.0,0,6,1,typical
73,https://g17.dhi-roma.it/resources/institution_114,Bituntina,0.0,0.0,0,29,1,typical
444,https://g17.dhi-roma.it/resources/institution_553,Tarentina,0.0,0.0,0,10,1,typical
434,https://g17.dhi-roma.it/resources/institution_540,Spirensis,0.0,0.0,0,10,1,typical
53,https://g17.dhi-roma.it/resources/institution_1102,Nullius seu Andegavensis,0.0,0.0,0,19,1,typical
442,https://g17.dhi-roma.it/resources/institution_551,Taranthasiensis,0.0,0.0,0,8,1,typical
57,https://g17.dhi-roma.it/resources/institution_1107,tricastrinensis,0.0,0.0,0,7,1,typical
256,https://g17.dhi-roma.it/resources/institution_325,Leighliniensis,0.0,0.0,0,5,1,typical
59,https://g17.dhi-roma.it/resources/institution_1109,montis pessulani,0.0,0.0,0,5,1,typical
428,https://g17.dhi-roma.it/resources/institution_530,Senensis,0.0,0.0,0,27,1,typical
426,https://g17.dhi-roma.it/resources/institution_529,Seguntin,0.0,0.0,0,56,1,typical
495,https://g17.dhi-roma.it/resources/institution_623,Venusina,0.0,0.0,0,5,1,typical
23,https://g17.dhi-roma.it/resources/institution_1070,faventina et spoletana,0.0,0.0,0,8,1,typical
18,https://g17.dhi-roma.it/resources/institution_1065,aurelianensis seu bituricensis,0.0,0.0,0,12,1,typical
411,https://g17.dhi-roma.it/resources/institution_509,Sancta Agathae Gothorum,0.0,0.0,0,10,1,typical
415,https://g17.dhi-roma.it/resources/institution_515,Sancti Marci,0.0,0.0,0,5,1,typical
446,https://g17.dhi-roma.it/resources/institution_556,Tarvisina,0.0,0.0,0,14,1,typical
177,https://g17.dhi-roma.it/resources/institution_213,Corcagiensis,0.0,0.0,0,8,1,typical
452,https://g17.dhi-roma.it/resources/institution_563,Thelesina/Theolesiensis,0.0,0.0,0,5,1,typical
461,https://g17.dhi-roma.it/resources/institution_577,Treverensis,0.0,0.0,0,5,1,typical
462,https://g17.dhi-roma.it/resources/institution_578,Tricaricensis,0.0,0.0,0,11,1,typical
453,https://g17.dhi-roma.it/resources/institution_564,Tholonensis,0.0,0.0,0,14,1,typical
50,https://g17.dhi-roma.it/resources/institution_110,Bisignanensis,0.0,0.0,0,7,1,typical
466,https://g17.dhi-roma.it/resources/institution_583,Troiana,0.0,0.0,0,6,1,typical
467,https://g17.dhi-roma.it/resources/institution_584,Tropiensis,0.0,0.0,0,8,1,typical
451,https://g17.dhi-roma.it/resources/institution_562,Theatina,0.0,0.0,0,5,1,typical
468,https://g17.dhi-roma.it/resources/institution_585,Tuamensis in Hybernia,0.0,0.0,0,6,1,typical
469,https://g17.dhi-roma.it/resources/institution_586,Tudensis,0.0,0.0,0,9,1,typical
448,https://g17.dhi-roma.it/resources/institution_559,Terracinensis,0.0,0.0,0,10,1,typical
450,https://g17.dhi-roma.it/resources/institution_561,Theanensis,0.0,0.0,0,16,1,typical
449,https://g17.dhi-roma.it/resources/institution_560,Terulensis,0.0,0.0,0,18,1,typical
545,https://g17.dhi-roma.it/resources/institution_706,Calliensis,0.0,0.0,0,10,1,typical
20,https://g17.dhi-roma.it/resources/institution_1068,ebredunensis,0.0,0.0,0,7,1,typical
22,https://g17.dhi-roma.it/resources/institution_107,Beneventana,0.0,0.0,0,44,1,typical
44,https://g17.dhi-roma.it/resources/institution_1094,malleacensis,0.0,0.0,0,5,1,typical
133,https://g17.dhi-roma.it/resources/institution_16,Acernensis,0.0,0.0,0,7,1,typical
260,https://g17.dhi-roma.it/resources/institution_329,Leonensis,0.0,0.0,0,15,1,typical
37,https://g17.dhi-roma.it/resources/institution_1086,andegavensis seu cenomanensis aut pictavensis,0.0,0.0,0,6,1,typical
505,https://g17.dhi-roma.it/resources/institution_636,Visensis,0.0,0.0,0,8,1,typical
506,https://g17.dhi-roma.it/resources/institution_637,Viterbiensis,0.0,0.0,0,12,1,typical
508,https://g17.dhi-roma.it/resources/institution_64,Aquilegiensis,0.0,0.0,0,12,1,typical
34,https://g17.dhi-roma.it/resources/institution_1082,urbis - pergamensis et aliorum,0.0,0.0,0,17,1,typical
516,https://g17.dhi-roma.it/resources/institution_651,Zamorensis,0.0,0.0,0,20,1,typical
32,https://g17.dhi-roma.it/resources/institution_1080,spoletana - firmana et urbevetana,0.0,0.0,0,8,1,typical
31,https://g17.dhi-roma.it/resources/institution_108,Bergomensis,0.0,0.0,0,16,1,typical
524,https://g17.dhi-roma.it/resources/institution_679,Alexandrina diocesis provinciae Mediolanensis,0.0,0.0,0,6,1,typical
502,https://g17.dhi-roma.it/resources/institution_630,Vicentina,0.0,0.0,0,18,1,typical
46,https://g17.dhi-roma.it/resources/institution_1096,nullius dioc prov. ispalensis,0.0,0.0,0,5,1,typical
478,https://g17.dhi-roma.it/resources/institution_597,Urbevetana,0.0,0.0,0,11,1,typical
484,https://g17.dhi-roma.it/resources/institution_606,Valentina in Delphinatu,0.0,0.0,0,11,1,typical
541,https://g17.dhi-roma.it/resources/institution_702,Triventinus,0.0,0.0,0,13,1,typical
43,https://g17.dhi-roma.it/resources/institution_1093,condomiensis seu agennensis,0.0,0.0,0,8,1,typical
486,https://g17.dhi-roma.it/resources/institution_609,Valvensis,0.0,0.0,0,15,1,typical
42,https://g17.dhi-roma.it/resources/institution_1092,collensis et aliarum,0.0,0.0,0,21,1,typical
496,https://g17.dhi-roma.it/resources/institution_624,Verulana,0.0,0.0,0,7,1,typical
555,https://g17.dhi-roma.it/resources/institution_72,Ariminensis,0.0,0.0,0,9,1,typical
558,https://g17.dhi-roma.it/resources/institution_723,Melevitana,0.0,0.0,0,10,1,typical
561,https://g17.dhi-roma.it/resources/institution_77,Astensis,0.0,0.0,0,7,1,typical
563,https://g17.dhi-roma.it/resources/institution_79,Atrebatensis,0.0,0.0,0,9,1,typical
